epoch,train_loss,valid_loss,accuracy,time
0,3.638054132461548,3.5042996406555176,0.12478335946798325,12:12
1,3.20363450050354,2.7640457153320312,0.25996533036231995,11:48
2,2.9080796241760254,2.0742266178131104,0.3760831952095032,11:46
3,2.6520044803619385,1.854801893234253,0.43674176931381226,11:28
4,2.485600709915161,1.722910761833191,0.46100521087646484,11:27
5,2.217648506164551,1.683308720588684,0.5095320343971252,11:27
6,1.9979121685028076,1.7581831216812134,0.4714038074016571,11:27
7,1.7481615543365479,1.5464705228805542,0.596187174320221,11:27
8,1.7823909521102905,1.368187665939331,0.6048526763916016,11:27
9,1.6260161399841309,1.036494255065918,0.6949740052223206,11:27
10,1.532952904701233,1.0489462614059448,0.6637781858444214,11:27
11,1.4741002321243286,1.222936749458313,0.6828423142433167,11:27
12,1.3263030052185059,1.097784161567688,0.6845753788948059,11:27
13,1.4160836935043335,1.0243912935256958,0.6828423142433167,11:28
14,1.3055758476257324,1.0717428922653198,0.6880415678024292,11:27
15,1.2645790576934814,1.1699209213256836,0.6967071294784546,11:27
16,1.2045128345489502,0.811134934425354,0.7296360731124878,11:27
17,1.1033097505569458,0.7738009691238403,0.7556325793266296,11:27
18,1.194687008857727,0.8895725011825562,0.7365684509277344,11:27
19,1.1058462858200073,0.7310545444488525,0.762565016746521,11:27
20,1.1427185535430908,0.9442724585533142,0.7383015751838684,11:27
21,1.045241117477417,0.7412905097007751,0.7764298319816589,11:27
22,0.9871438145637512,0.8277206420898438,0.7487002015113831,11:27
23,1.0126293897628784,0.922024130821228,0.7521663904190063,11:27
24,1.0135537385940552,0.7696540951728821,0.7954939603805542,11:27
25,1.0217208862304688,0.9359217882156372,0.7660312056541443,11:27
26,1.0010205507278442,0.8108739256858826,0.7781628966331482,11:27
27,0.9225995540618896,0.9475367665290833,0.7694973945617676,11:27
28,0.96364426612854,0.7081299424171448,0.8024263381958008,11:27
29,0.8469588160514832,0.7554231882095337,0.821490466594696,11:28
30,0.8627789616584778,0.9450393915176392,0.8162911534309387,11:27
31,0.874214231967926,0.9493969678878784,0.7902946472167969,11:28
32,0.81948322057724,0.6995840668678284,0.8128249645233154,11:45
33,0.8175356388092041,0.6034507155418396,0.8128249645233154,11:46
34,0.7976148724555969,0.8632832169532776,0.8093587756156921,11:44
35,0.7324222922325134,0.6964368224143982,0.8266897797584534,11:44
36,0.7895359992980957,0.7345079779624939,0.8076256513595581,11:46
37,0.7725768685340881,0.8152618408203125,0.8110918402671814,11:29
38,0.7960137128829956,0.6612207293510437,0.8145580291748047,11:49
39,0.7968295812606812,0.7184787392616272,0.8110918402671814,11:48
